f1 f2 f2sat FEsat z1satI z1satII z2satI z2satII enesatI enesatII
1.149999999999999911e+00 8.022774259692219800e+00 8.169088026643532174e+00 3.600165109082294479e-01 -2.095290634992423850e+00 -1.595171011975049957e+00 2.225677505721125993e+00 2.463170470301161874e+00 -2.095290634992423850e+00 -1.595171011975049957e+00
1.100000000000000089e+00 8.137637827328790152e+00 8.273577126779130708e+00 6.944378294861395240e-01 -1.967656822623717439e+00 -1.498862588652063677e+00 2.225397772536321650e+00 2.459796644363059670e+00 -1.967656822623717439e+00 -1.498862588652063677e+00
1.000000000000000000e+00 8.362944191104549674e+00 8.462479036711458846e+00 1.299045870919316892e+00 -1.729648775273913586e+00 -1.304052012593558851e+00 2.220984711499069064e+00 2.457989583495504782e+00 -1.729648775273913586e+00 -1.304052012593558851e+00
9.499999999999999556e-01 8.425008038980619673e+00 8.549448836192921064e+00 1.575759638998649681e+00 -1.607778795269524386e+00 -1.210550346666055654e+00 2.222782743845435505e+00 2.457375111816555879e+00 -1.607778795269524386e+00 -1.210550346666055654e+00
9.000000000000000222e-01 8.500193769672829802e+00 8.630726842463975146e+00 1.833628944603695743e+00 -1.494288243994487564e+00 -1.119313293580458391e+00 2.221300064606127833e+00 2.458003260585558625e+00 -1.494288243994487564e+00 -1.119313293580458391e+00
8.000000000000000444e-01 8.656307974374689351e+00 8.777312686982201129e+00 2.297796006403652225e+00 -1.258870198978717658e+00 -9.454686132588450143e-01 2.225770608600108780e+00 2.460759507327909823e+00 -1.258870198978717658e+00 -9.454686132588450143e-01
7.500000000000000000e-01 8.709413504015049767e+00 8.840541705922396076e+00 2.497690876151961614e+00 -1.160318481401990898e+00 -8.634414007165474025e-01 2.221945897187979302e+00 2.459422558823308069e+00 -1.160318481401990898e+00 -8.634414007165474025e-01
0.70000000 8.91844030
